,Unnamed: 0,Tour_Name,Tour_Type,Number_of_Reviewer,Duration,Price,Highlight,Location,Rating
308,308,369. Half Day Kampong Phluk Floating Village Tour,Day Trips,1.0,5–6 hours,60,"English Speaking Tour Guide, Car Transport, Drinking Water, Entrance Fees, Boat Fees, Entry/Admission - Kampong Phluk Floating Village","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
2769,2769,Private Tour: Phnom Penh City Tour with Mekong River Boat Trip,Full-day-Tours,, 10 hours (approx.),$192.31 ,"Hotel pickup and drop-off at Phnom Phen City area, Transport by air-conditioned private car, English speaking local guide at the time of sightseeing, Mekong River Boat Trip","Phnom Penh, Cambodia",
1756,1756,1817. Full-Day Angkor and Temples Cycling Tour - Inclusive Lunch,Full-day Tours,,6+ hours,49.5,"Bottled water, Lunch at Good Service Restaurant, First Aid kits, High Performance Giant XTC SLR 27.5"" Size range from XS to XL, Hotel pickup and drop-off, Professional Biking and Historical Guide, Pure Drinking Water and Drink, Snack and Fruits","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
2905,2905,1 Day Angkor Wat With Small Circuit & Floating Village,Valentines-Day,, 7 to 8 hours (approx.),$65.00 ,"Professional license English tour guide, A/C car / van / bus with driver, Parking fees and road tolls, Cool drinking waters and towels","Krong Siem Reap, Cambodia",
3018,3018,Full-Day Kulen Waterfall & 1000 Lingas Join-in Tour,Day-Trips,, 10 hours (approx.),$49.00 ,"Hotel pickup (8:00am to 8:25am), Transport by air-conditioned minivan, Professional English-speaking guide, Cold towels, Bottled water, Local taxes, Hotel Dropoff","Siem Reap, Cambodia",
749,749,"810. Cooking Class - Cook for the Purpose, Fun, Educational, Donation & Contribution",Cooking Classes,3.0,3 hours,47.18, Welcome healthy drink  Local Market Tours (*) accompany by the chef for the whole activities  Lunch (Your own cooked foods) with a local beer per person  Foods offering to Monks or Local people,"Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
1590,1590,1651. 2-Day Siem Reap and Preah Vihear Tour,Bus Tours,,2 days,331.81,"Pick up & drop off from / at your hotel, Experienced English speaking guide, Air-conditioned vehicle, Cool water and towels","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
1170,1170,1231. Full 9-Day Explore Cambodia Angkor Temples Private Small Group,Luxury Car Tours,,3+ days,768,"Breakfast, Breakfast, Dinner, Breakfast, Breakfast, Breakfast, Breakfast, Breakfast, Dinner, Breakfast, Accommodations (3-4 stars), English tour guide/leader, Air-Con Vehicle, Welcome & Farwell dinner, All entrance fees, Airport pick up & transfer, Cool waters/napkins, Breakfasts are included, Entry/Admission - Royal Palace Park, Entry/Admission - Silver Pagoda, Entry/Admission - Tuol Sleng Genocide Museum, Entry/Admission - Choeung Ek Genocidal Center, Entry/Admission - National Museum of Cambodia, Entry/Admission - Wat Phnom, Entry/Admission - Tonle, Entry/Admission - Kompong Khleang, Entry/Admission - Angkor Wat, Entry/Admission - Ta Prohm, Entry/Admission - Angkor Thom South Gate, Entry/Admission - Bayon Temple, Entry/Admission - Terrace of the Elephants, Entry/Admission - Banteay Samre, Entry/Admission - Ta Som, Entry/Admission - Neak Pean, Entry/Admission - Preah Khan, Entry/Admission - Beng Mealea, Entry/Admission - Preah Ko, Entry/Admission - Siem Reap Night Market, Entry/Admission - Battambang Bat Caves","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets",
3163,3163,4 Days - Major Temples & Kulen mountain & Koh Ker & Beng Mealea in Siem Reap,Multi-day-Tours,, 4 days  (approx.),$245.00 ,"Private A/C Vehicle with driver, English Speaking Guide with licensed, Cool drinking waters & wet towels, Parking fees & Road tolls, Start pick up at your hotel and finish drop you at hotel","Siem Reap, Cambodia",
1266,1266,1327. Half Day Private Tour: Tomb Raider & Banteay Kdei Temple,Bus Tours,,4 hours,110,"Private Tour Guide, Private Transportation, Pick-up & Drop-off, Pure Drinking Water, Entry/Admission - Banteay Kdei, Entry/Admission - Ta Prohm Temple","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
2019,2019,2080. Private Three Day Trip In Phnom Penh Capital City,Bus Tours,,3 days,330,"Private English Speaking Tour Guide, Private Transportation with A/C, Pure Drinking Water, Entry/Admission - Russian Market","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets",
2686,2686,Private Half-Day Silk Island Trip from Phnom Penh,Full-day-Tours,7.0, 4 hours (approx.),$96.42 ,"Bottled water, Morning or afternoon tea, Private guide, Transport of your choice and driver, Hotel pickup","Phnom Penh, Cambodia",star-5
908,908,969. Beng Mealea - Koh Ker & Preah Vihear Private Tour,Bus Tours,1.0,6+ hours,167.95,"Private transportation, 4-wheel drive pick up to the hill of Preah Vihear, Experienced English speaking guide, Picnic Lunch on spot as motioned in itinerary, Mineral water and cold tissues on tours, Fuel surcharge, Landing and facility fees, Air-conditioned vehicle","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
3207,3207,2-Day Angkor Wat tour By English Speaking Driver with A/C Transport,Overnight-Tours,2.0, 2 days  (approx.),$48.92 ,"Vaccinated Experienced English Speaking Driver, Private Vehicle With Air-conditioned, Free cool water & towels during this tour, Parkings, toll and petrol, Hotel pick-up and drop off","Siem Reap, Cambodia",star-5
86,86,117. Floating Village Sunset Boat Vespa Tour,Bike Tours,26.0,4–5 hours,60,"Hotel Pick up & Drop Off, Boat ticket & Tax included, Vespa & Experience Driver., Cold water supplies, Soft drink or Beer, Entry/Admission - Chong Kneas Floating Village","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
2985,2985,Kulen mountain Waterfall Small Groups,Day-Trips,1.0, 8 to 9 hours (approx.),$65.00 ,"English Speaking tour guide, Drinking water, Entrance fee, Transport","Krong Siem Reap, Cambodia",star-5
2238,2238,2299. Private Day Tour To Preah Vihear - Pyramid Koh Ker - Jungle Temple Beng Mealea,Full-day Tours,,10–12 hours,300,"Included cold waters, wipes, gasoline, tool road and parking lots, Hotel pickup and drop-off, Private tour in the AC minivan/SUV/4WD with professional/photographer guide and safe driver, Transportation up to the yoke mountain., Entry/Admission - Beng Mealea","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
3269,3269,3 Day Discovery of Angkor Wat & Kulen National Park,Multi-day-Tours,2.0, 3 days  (approx.),,"English Speaking Guide 1days, Private vehicle by air-conditioned vehicle, Free cool & cool towels during touring, All local applicable taxes","Krong Siem Reap, Cambodia",star-5
970,970,1031. Phnom Penh Intercity,6 hours,1.0,6 hours,133.34,"Air-conditioned vehicle, Hotel pick-up, Drop-off at Phnom Penh hotel or Phnom Penh airport, Bottled water & Cold Towels","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
13,13,"44. Morning Market and Street Art Tour, Including Breakfast and all Transport",Private and Luxury,32.0,3–4 hours,45,"2 delicious breakfasts are included, come hungry!, We will try some local snacks in and around the market, We can try some local Iced Tea and Coffee!, Hotel pick up and drop off, Experienced English Speaking Guide","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets",5
873,873,934. Private Tour: Kulen Mountain Day Trip Including Hidden Temple from Siem Reap,Car Tours,1.0,6+ hours,87.18,"Bottled water, Hotel pickup and drop-off, Private tour, English-speaking driver, Guide (if option selected), Entry/Admission - Siem Reap","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
1723,1723,1784. Private Transfer From Phnom Penh Airport To Hotels,55–70 minutes,,55–70 minutes,21,"Gasoline, toll, parking, frieldly, relaible driver, Passenger insurnace,, We write your name on board at exit door after immagration","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets",
808,808,"869. 2 Days Private tour:Small tour, Big tour, Sunrise,Sunset and Floating Village",Bus Tours,2.0,2 days,170.67,"Lunch, Breakfast, Lunch, Dinner, Private transportation, cold water / towel, Entry/Admission - Angkor Thom, Entry/Admission - Bayon Temple, Entry/Admission - Siem Reap, Entry/Admission - Siem Reap, Entry/Admission - Neak Pean","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
3237,3237,Battambang Countryside Cycling Tour,Bike-and-Mountain-Bike-Tours,6.0, 7 hours (approx.),$54.00 ,"Bottled water, All Fees and Taxes, English speaking tour guide, Mountain bikes with safety helmets, Lunch","Battambang, Cambodia",star-5
514,514,575. Angkor Wat and Royal Temples Private Tour from Siem Reap,Full-day Tours,23.0,6+ hours,59,"Transport by private air-conditioned mini bus/van/car, Hotel pickup and drop-off from your hotel in Siem Reap, Local Live English-speaking tour guide (Licensed), Cold Bottled water on tour, Private tour just for you","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
3023,3023,Oudong Temples Private Tour from Phnom Penh,Bus-Services,1.0, 5 to 6 hours (approx.),$129.00 ,"Hotel pickup and drop-off, Good car/minivan with good air conditioned, Private tour guide, Coffee and/or Tea, Bottled water during tours, Tickets","Phnom Penh, Cambodia",star-5
409,409,470. Angkor Wat Private bike tour avoid the crowds,Full-day Tours,,6+ hours,61.54,"standard bicycles, English speaking tour guide with license., Cold bottles of Water and Cold towels, Fruit Snack., Tuk Tuk follow up during the tour","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
2236,2236,2297. Private Half-Day Cycling & Jeep Tour to Pouk Silk Farm,Adventure Tours,,4 hours,61.54,"Private Transportation by US Army Jeep, Drinks & Snack, Gasoline, Private English Speaking Tour Guide, Bike","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
1337,1337,1398. Private 12-Day Tour of Cambodia and Vietnam from Siem Reap,Bus Tours,,3+ days,"3,190.00","Breakfast, Lunch, Breakfast, Breakfast, Breakfast, Lunch, Breakfast, Breakfast, Breakfast, Dinner, Breakfast, Lunch, Lunch, Breakfast, Breakfast, On-Tour Air included (3 flights), Stay 2 nights at the Borei Angkor Resort & Spa (Landmark Room), Stay 2 nights at the Hanoi La Siesta Hotel (Deluxe Room), Stay 1 night onboard the Dragon’s Legend Cruise (Deluxe Cabin), Stay 2 nights at the Hoi An La Siesta Resort & Spa (Veranda Pool View Room), Stay 1 night at the Azerai La Residence Hue (Superior River View Room), Stay 3 nights at the Hotel des Arts Saigon Mgallery (Deluxe Room), Private transportation by modern air-conditioned vehicle, Private professional Licensed English Speaking guide, Airport transfers upon arrival and departure as noted, Sightseeing as specified including entrance fees, 15 meals; service charges, taxes and porterage, Included admission fee to visit the temples in Angkor Archaeological Park three-day ticket $62.00, Entry/Admission - Angkor Thom South Gate, Entry/Admission - Bayon Temple, Entry/Admission - Baphuon Temple, Entry/Admission - Terrace of the Elephants, Entry/Admission - Terrace of the Leper King, Entry/Admission - Phimeanakas, Entry/Admission - Ta Prohm, Entry/Admission - Angkor Wat, Entry/Admission - Banteay Srei, Entry/Admission - Preah Khan, Entry/Admission - Kampong Phluk Floating Village, Entry/Admission - Ho Chi Minh Mausoleum, Entry/Admission - Temple of Literature & National University, Entry/Admission - Vietnam Museum of Ethnology, Entry/Admission - Hanoi Opera House, Entry/Admission - Hoa Lo Prison, Entry/Admission - Hanoi Old Quarter Culture Exchange Center, Entry/Admission - Thang Long Water Puppet, Entry/Admission - Hoi An Ancient Town, Entry/Admission - Japanese Covered Bridge, Entry/Admission - The Old House of Phun Hung, Entry/Admission - Fukian Assembly Hall (Phuc Kien), Entry/Admission - Old House of Tan Ky, Entry/Admission - Hoi An Riverside, Entry/Admission - Tomb of Tu Duc, Entry/Admission - Tomb of Khai Dinh, Entry/Admission - Hue Imperial City (The Citadel), Entry/Admission - Thien Mu Pagoda, Entry/Admission - Tomb of Minh Mang, Entry/Admission - Cu Chi Tunnels, Entry/Admission - Saigon Notre Dame Cathedral, Entry/Admission - Central Post Office, Entry/Admission - The Independence Palace, Entry/Admission - War Remnants Museum, Entry/Admission - Ben Thanh Market","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
1413,1413,"1474. Afternoon Tour to Ta Prohm, Bayon and Angkor Wat Temple with Sunset",Full-day Tours,,4–5 hours,25,"All local applicable, English Speaking guide, Cold pure drinking water and cold towel during temple trip, Hotel Pick Up & Drop Off","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
2836,2836,"Ultimate Private Day Trips To Koh Ker City, Pyramid Prasat Thom & Beng Mealea",Day-Trips,2.0, 8 to 10 hours (approx.),,"Hotel pickup and drop-off, Private tour in air-conditioning vehicles with professional guide and driver, Included cold waters and wipes, gasoline, toll road, parking lots","Siem Reap, Cambodia",star-5
207,207,238. Full Day Archeological Tour in Siem Reap,Bus Tours,12.0,6+ hours,12,"Air-conditioned vehicle, Tour guide with experiences, Pick up/Drop off, Bottled water, Local tax","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
1950,1950,2011. Private Taxi Transfer Sihanoukville - Battambang Car - Mini-Van,8–9 hours,,8–9 hours,119,"Gasoline, Tolls, Parking, Privete Driver, Passenger Insurance, Cold Bottle of Water","Asia, Cambodia, Sihanoukville Province, Sihanoukville, Things to Do in Sihanoukville, Sihanoukville Tours, Tours and Tickets",
458,458,519. Private Taxi Transfer From Phnom Penh - Sihanoukville City,4–5 hours,,4–5 hours,57.87,"Experince English speaking driver, Air-conditioned vehicles (SUV/Minivan), Gasoline, Tool, Parking fee, Passenger insurance included","Asia, Cambodia, Sihanoukville Province, Sihanoukville, Things to Do in Sihanoukville, Sihanoukville Tours, Tours and Tickets",
6,6,37. Award-Winning Cooking Class Experience with Professional Teacher,Cooking Classes,205.0,3 hours,25,"Cooking class with a professional chef, Lunch or Dinner prepared during the class","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
382,382,443. Private Taxi Transfer From Siem Reap - Poipet Border,3 hours,,3 hours,32,"Experienced English speaking driver, Air-condition vehicle (SUV car /Minivan), Petrol and parking fee","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
2273,2273,"2334. Exploring Koh Ker, the most beautiful pyramid temple in Cambodia",Full-day Tours,,8–10 hours,164.11,"English Speaking Tour Guide, Transportation, Cold water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
2749,2749,Private Prasith and Reap Temples Day Trip from Phnom Penh,Day-Trips,3.0, 8 hours (approx.),$117.44 ,"Bottled water, Lunch, Coffee and/or Tea, Private Guide, Private transport of your choice and driver, Driver/guide, Hotel pickup","Phnom Penh, Cambodia",star-4.5
